Project,Latitude,Longitude,Large project,Address
1_saint-ferdinand,45.476531,-73.583539,0,N/A
2_louvain-est,45.555948,-73.649333,0,N/A
3_labaie,45.504714,-73.570333,0,"585 Saint-Catherine St W, Montreal, QC H3B 3Y5"
4_campus-udem,45.502567,-73.614255,1,N/A
5_projet-griffintown,45.489304,-73.562865,0,N/A
6_ppu-faubourg,45.522182,-73.556898,1,N/A
7_ilot-sainte-catherine-ouest,45.492276,-73.580859,0,N/A
8_hippodrome,45.490112,-73.657285,0,N/A
9_PPUnordIDS,45.471728,-73.538637,1,N/A
10_metropole-mixte,N/A,N/A,N/A,N/A
11_bridge-bonaventure,45.478426,-73.542407,1,N/A
12_lachine-est,45.437694,-73.662717,0,N/A
13_st-georges,45.493846,-73.596433,0,"3100 The Boulevard, Montréal, QC H3Y 1R9"
14_r%26ds,N/A,N/A,N/A,N/A
15_faubourgs,45.522182,-73.556898,1,N/A
16_parc-nature,45.458177,-73.618247,0,N/A
17_voies-dacces-au-parc-mont-royal,45.508173,-73.591338,N/A,N/A
18_mcgillcollege,45.503521,-73.574219,0,N/A
19_soeurssainteanne,45.442338,-73.681923,0,"1950 Rue Provost, Lachine, QC H8S 1P7"
20_assomption-sud%E2%80%93longue-pointe,45.569042,-73.528444,1,N/A
21_parcjeandrapeau,45.514085,-73.533241,0,N/A
22_contrecoeur,45.612629,-73.534147,0,N/A
23_pdues-turcot,45.469977,-73.59,1,N/A
24_pierrefonds-ouest,45.459356,-73.92901,0,N/A
25_saint-patrick,45.482664,-73.567795,0,"2175 Saint-Patrick St., Montreal, Quebec H3K 1B4"
26_angus,45.54259,-73.567136,0,N/A
27_ecole-crawford,45.43752,-73.587103,0,"7301 Rue Churchill, Verdun, QC H4H 2L1"
28_bourbon,45.521884,-73.554009,0,N/A
29_hme,45.489029,-73.582473,0,"2300 Tupper St, Montreal, Quebec H3H 1P3"
30_assomption,45.567031,-73.549671,1,N/A
31_centre-ville,N/A,N/A,N/A,N/A
32_quartiersturcot,45.469977,-73.59,1,N/A
33_projet-immobilier-du-domaine-des-franciscains,45.489636,-73.579382,0,"2020 René-Lévesque Blvd W, Montreal, QC H3H 2H2"
34_energies-fossiles,N/A,N/A,N/A,N/A
35_projet-lilot-wanklyn,45.42973,-73.651427,0,N/A
36_concordance-au-schema-damenagement-et-developpement-lagglomeration-montreal,N/A,N/A,N/A,N/A
37_programme-particulier-durbanisme-quartier-gares-ppu,45.498242,-73.568219,1,N/A
38_projet-immobilier-carre-arts,45.52102,-73.56388,0,"1125 Rue du Square-Amherst, Montréal, QC H2L 1N1"
39_secteur-demplois-plateau-est,45.539557,-73.56723,1,N/A
40_implantation-dun-centre-compostage-dans-secteur-est,45.645378,-73.52819,1,N/A
41_projet-immobilier-ateliers-castelnau,45.534483,-73.621377,0,"65 Rue de Castelnau O, Montréal, QC H2R 2W3"
42_projet-immobilier-sur-rue-st-antoine-ouest,45.495548,-73.56806,0,"1188 Rue Saint-Antoine O, Montréal, QC H3C 1B4"
43_plan-developpement-montreal,N/A,N/A,N/A,N/A
44_projet-construction-dune-ecole-primaire-lile-soeurs,45.465602,-73.543438,0,"100 Bd de l'Île-des-Soeurs, Montréal, QC H3E 0C7"
45_avenir-secteurs-marconi-alexandra-atlantic-beaumont-castelnau-pdues,45.529921,-73.613697,1,N/A
46_secteur-st-raymond-et-abords-futur-cusm,45.472792,-73.602651,1,N/A
47_projet-transformation-marche-saint-jacques,45.520874,-73.563794,0,"1125 Ontario St E, Montreal, QC H2L 1R1"
48_consultation-publique-sur-lavenir-vieux-montreal,N/A,N/A,N/A,N/A
49_developpement-campus-college-notre-dame,45.493489,-73.623448,0,"4000 Jean Brillant St, Montreal, QC H3T 1P1"
50_projet-redeveloppement-residentiel-mirelis-secteur-marconi-alexandra,45.530643,-73.613647,0,"Mile-Ex, Montreal, QC H2S 1P4"
51_ppu-quartier-spectacles-pole-quartier-latin,45.512349,-73.563924,1,N/A
52_centre-traitement-matieres-organiques-secteur-ouest,N/A,N/A,N/A,N/A
53_agriculture-urbaine-montreal,N/A,N/A,N/A,N/A
54_revalorisation-site-anciens-garages-mtq,45.542583,-73.676397,0,N/A
55_complexe-municipal-soccer-cesm,45.55865726,-73.6207696,0,"2235 Rue Michel-Jurdant, Montréal, QC H1Z 4N1"
56_transformation-ledifice-nordelec-2,45.48428416,-73.56218392,0,"1751 Rue Richardson, Montréal, QC H3K 1G6"
57_programme-particulier-durbanisme-griffintown,N/A,N/A,1,N/A
58_secteur-griffintown,N/A,N/A,1,N/A
59_traitement-matieres-organiques,N/A,N/A,N/A,N/A
60_hauteurs-densites,N/A,N/A,N/A,N/A
61_reglementation-antennes-telecommunication,N/A,N/A,N/A,N/A
62_375e-anniversaire-montreal-operation-carte-blanche,N/A,N/A,N/A,N/A
63_revitalisation-quartier-ste-marie-ppu,N/A,N/A,1,N/A
64_cusm-campus-montagne,45.4970981,-73.58903592,0,"1650 Ave Cedar, Montréal, QC H3G 1A3"
65_centre-raymond-prefontaine,45.543688,-73.561125,0,N/A
66_revitalisation-louest-centre-ville-ppu-quartier-grands-jardins,N/A,N/A,1,N/A
67_revision-charte-montrealaise-droits-et-responsabilites,N/A,N/A,N/A,N/A
68_centre-7400,45.53556465,-73.62140902,0,"7400 Blvd Saint-Laurent, Montréal, QC H2R 2Y1"
69_site-norampac,45.54239,-73.574967,0,N/A
70_agrandissement-tennis-canada,45.5336696,-73.6260705,0,"258 rue Gary-Carter, Montréal, QC H2R 2W1"
71_quartier-bonaventure,N/A,N/A,1,N/A
72_reamenagement-secteur-namur-jean-talon,45.497849,-73.64998,1,N/A
73_redeveloppement-anciens-ateliers-cn-2,45.48129911,-73.55260805,0,"1830 Rue le Ber, Montréal, QC H3K 2A4"
74_1475-boul-rene-levesque-ouest,45.49461395,-73.57474877,0,"1475 Boulevard René-Lévesque O, Montréal, QC H3G 1T8"
75_ancien-seminaire-philosophie,45.49517616,-73.59071679,0,"3880 Ch. de la Côte-des-Neiges, Montréal, QC H3H 1B4"
76_projet-2-22-rue-sainte-catherine,45.51016614,-73.56336293,0,"2 rue Sainte-Catherine E, Montréal, QC H2X 1K4"
77_quadrilatere-saint-laurent,45.50933519,-73.56332186,0,N/A
78_projet-redeveloppement-lilot-seville,45.49094701,-73.58370745,0,N/A
