,speaker,sentence,lang
0,LA PRÉSIDENTE,"Mesdames, Messieurs, bonsoir!",fr
1,LA PRÉSIDENTE,Alors je vous souhaite la bienvenue à la séanced’information portant sur le projet du Domaine des Franciscains.,fr
2,LA PRÉSIDENTE,Cette séance se déroulera enfrançais mais les gens qui voudraient s’exprimer en anglais peuvent le faire en s’adressant à lacommission.,fr
3,LA PRÉSIDENTE,The meeting will be conducted in French but anyone who would prefer to address,fr
4,LA PRÉSIDENTE,English and ask the questions in English,fr
5,LA PRÉSIDENTE,"Je me nomme Nicole Brodeur, je suis commissaire à l’Office de consultation publique deMontréal.",fr
6,LA PRÉSIDENTE,"La présidente de l’Office, madame Dominique Ollivier, m’a confié la présidence de cettecommission.",fr
7,LA PRÉSIDENTE,"La commission est composée de monsieur Viateur Chénard, à ma gauche, et demonsieur Joshua Wolfe, à ma droite.",fr
8,LA PRÉSIDENTE,La commission est appuyée dans son travail par Olivier Rinfret qui agira à titre desecrétaire analyste de la commission.,fr
9,LA PRÉSIDENTE,"À la table d’accueil à l’extérieur, permettez-moi de vousprésenter Julie Dubé et Christelle Lollier-Théberge.",fr
10,LA PRÉSIDENTE,Elles vous donneront toute l’informationdisponible.,fr
11,LA PRÉSIDENTE,"Monsieur Gilles Vézina, qui n’est pas ici cependant ce soir, attaché de recherche et dedocumentation à l’Office, est la personne que vous devez contacter, si vous avez besoin derenseignements supplémentaires.",fr
12,LA PRÉSIDENTE,"Les coordonnées de l’Office sont indiquées dans le dépliantque vous avez pris sans doute à la table d’accueil et je vous invite à le faire à la pause, si vous nel’avez pas fait.",fr
13,LA PRÉSIDENTE,"À la logistique, madame Brunelle Amélie Bourque.",fr
14,LA PRÉSIDENTE,L’assemblée de ce soir est enregistrée et sténographiée.,fr
15,LA PRÉSIDENTE,C'est monsieur Serge Boissé quis’occupe de la sonorisation et madame Louise Philibert de la sténographie.,fr
16,LA PRÉSIDENTE,Tout ce qui sera dit au cours de l’audience sera enregistré et transcrit.,fr
17,LA PRÉSIDENTE,Les transcriptions feront partie du dossier dedocumentation qui est disponible à la fois sur le site internet et au bureau même de l’Office.,fr
18,LA PRÉSIDENTE,"J’en profite pour souligner la présence parmi nous de monsieur Luc Doray, qui est assis àl’arrière, qui est le secrétaire général de l’Office.",fr
19,LA PRÉSIDENTE,Quelques mots maintenant sur la consultation publique et sur l’Office pour ceux et cellesd’entre vous qui ne sont pas familiers avec cette démarche.,fr
20,LA PRÉSIDENTE,Une consultation est destinée d’abordaux citoyens qui ont le droit d’être renseignés sur un projet susceptible de modifier leur cadre devie.,fr
21,LA PRÉSIDENTE,Ils ont aussi le droit de faire valoir leur opinion dans le but d’éclairer et d’influencer lesdécisions des élus relativement à ces projets.,fr
22,LA PRÉSIDENTE,"L’Office, qui a été mandaté pour cette consultation, a pour principe de procéder de façoncrédible, transparente et efficace.",fr
23,LA PRÉSIDENTE,"Les commissaires ne sont ni des élus, ni des fonctionnaires.",fr
24,LA PRÉSIDENTE,"Même s’il est régi par la Charte de la Ville, l’Office de consultation publique est une entité distinctede la Ville et indépendante.",fr
25,LA PRÉSIDENTE,"D'ailleurs, toute personne qui préside une commission ou qui en faitpartie s’engage à respecter le Code de déontologie des commissaires.",fr
26,LA PRÉSIDENTE,Vous pouvez prendreconnaissance de ce code à la table d’accueil ou sur le site internet de l’Office.,fr
27,LA PRÉSIDENTE,"D'ailleurs, il y a uneintéressante brochure qui décrit les procédures et dans laquelle se retrouve le Code dedéontologie des commissaires.",fr
28,M. JACQUES VINCENT,"Prével, c'est plus de 37 ans d’expérience, c'est 10 000unités d’habitation construites et nous sommes très impliqués depuis plusieurs années dans larevitalisation et la conservation du patrimoine, que ce soit par les projets du Quai de la Commune,Époque, Lowney, Impérial.",fr
29,M. JACQUES VINCENT,"Dans Shaughnessy, c'est le projet le Séville, le S sur le Square etmaintenant les Franciscains.",fr
30,M. JACQUES VINCENT,On est très fiers de présenter ce projet qui poursuit notre démarche dans le quartier poursa revitalisation.,fr
31,M. JACQUES VINCENT,Nous croyons fermement que l’élément fondamental de revitalisation de quartierpasse par l’animation que crée l’habitation.,fr
32,M. JACQUES VINCENT,"Le projet que nous vous présentons ce soir, c'est un projet de 360 unités d’habitationorientées vers le citoyen avec ses grands espaces verts et ses jardins publics avec seulement17 % d’implantation au sol, un projet qui voit à la conservation du patrimoine par la conservation etla protection des deux maisons, et ce, dans le respect du Programme particulier urbain, le PPUdes Grands Jardins en concertation avec le milieu.",fr
33,M. JACQUES VINCENT,"Ce travail d’équipe qui a été fait avec les Franciscains qui sont propriétaires du site,représentés ce soir par Philippe Frenière et aussi avec Michel Hardy de la firme Lemay+CHA,architecte et urbaniste.",fr
34,M. JACQUES VINCENT,Et en plus avec tous les intervenants de la Ville.,fr
35,M. JACQUES VINCENT,Espérant que vous accueillerez ce projet avec le même enthousiasme que nous avons euà le préparer.,fr
36,M. PHILIPPE FRENIÈRE,"Mon nom est Philippe Frenière, je suis l’administrateur délégué de la Corporationdes syndics, soit la société qui gère les actifs des Franciscains.",fr
37,M. PHILIPPE FRENIÈRE,"J’aimerais souligner dans unpremier temps la présence du père Marc Le Goanvec, ministre provincial de la communauté, quisuit et gère le projet depuis le tout début avec moi.",fr
38,M. PHILIPPE FRENIÈRE,"Tout d'abord, il est important pour nous de mentionner que le projet qui vous seraprésenté ce soir, ce n’est pas le fruit d’une rencontre fortuite entre un promoteur immobilier puis unpropriétaire de terrain mais plutôt le fruit d’un long processus très rigoureux et très professionnel.",fr
39,M. PHILIPPE FRENIÈRE,"En fait, dès le départ des Franciscains de la propriété en 2007, la réflexion pourdévelopper le site s’est amorcée.",fr
40,M. PHILIPPE FRENIÈRE,"De 2007 à 2010, différents projets de reconversion de lapropriété ont été présentés à l’arrondissement mais sans toutefois en arriver à un projet définitif.",fr
41,M. PHILIPPE FRENIÈRE,"En 2011, après avoir suivi toutes les étapes du PPU des Grands Jardins et après avoirconsulté les professionnels de l’arrondissement, il nous est apparu clair qu’il fallait développer unplan d’ensemble respectant les grandes orientations du PPU des Grands Jardins et qui mettrait envaleur le site et ses maisons patrimoniales.",fr
42,M. PHILIPPE FRENIÈRE,C'est à ce moment que nous avons fait le constat que nous n’étions pas outillés pour faireune telle démarche et présenter un plan d’ensemble.,fr
43,M. PHILIPPE FRENIÈRE,C'est donc à la mi-2011 que nous avons misen place le processus long et rigoureux dont je vous parlais tantôt.,fr
44,M. PHILIPPE FRENIÈRE,"Dans un premier temps, nous avons engagé une firme de courtage de renom pour nousassister dans tout le processus.",fr
45,M. PHILIPPE FRENIÈRE,Nous avons formé un comité d’experts avec des expertisesdifférentes pour nous aider à étudier les différentes propositions qui étaient pour nous être faites.,fr
46,M. PHILIPPE FRENIÈRE,"On a approché 70 développeurs immobiliers, beaucoup au Québec mais plusieurs aussi àl’extérieur du Canada, qu’on invitait à nous soumettre une proposition.",fr
47,M. PHILIPPE FRENIÈRE,Le processus se déroulaiten trois étapes.,fr
48,M. PHILIPPE FRENIÈRE,"Tout d'abord, on ne voulait pas entendre parler d’argent, on voulait qu’on nousprésente leur vision du site, leur expérience, leur expertise en développement patrimonial.",fr
