,speaker,sentence,lang
0,LETTER,"depuis septembre 2015, sur le boulevard René-Lévesque au coin de la rue Dufort.",fr
1,LETTER,"Quand je suis arrivée ici, j’ai eu deux surprises extraordinaires : mon appartement est juste en face d’une maison ancienne comme on n’en voit plus… tout simplement magnifique!",fr
2,LETTER,"L’autre surprise était moins agréable : le boulevard René-Lévesque - à six voies –est, par moments, une vraie piste de course.",fr
3,LETTER,"Il faut dire que j’habite aussi en face de l’entrée pour l’autoroute 720 ouest : je ne calcule pas le nombre d’accidents, les ambulances, voitures de police, camions de pompiers qui passent en trombe… le jour… la nuit…",fr
4,LETTER,Je ne vous inviterai pas à prendre un café : on ne peut avoir une conversation normale sans être obligé de fermer les fenêtres.,fr
5,LETTER,qu’on veut construire 360 condos sur le terrain des Franciscains.,fr
6,LETTER,"La belle maison qui va perdre tout son charme, écrasée par ce nouvel environnement!",fr
7,LETTER,Pas besoin d’être urbaniste pour le savoir,fr
8,LETTER,Mais qui se préoccupe d’urbanisme à Montréal?),fr
9,LETTER,Toutes les voitures qui vont venir s’ajouter au trafic (déjà terrible) de l’endroit!,fr
10,LETTER,Cette semaine j’entendais à Ici Radio-Canada première que le marché des condos est saturé à Montréal.,fr
11,LETTER,Les personnes qui veulent vendre leur condo peinent à le faire et sont obligées de vendre à perte.,fr
12,LETTER,Et on veut construire 360 condos sur un terrain où il y a des arbres maintenant… Condos qui vont venir s’ajouter à tous les autres condos qu’on est en train de construire dans le secteur.,fr
13,LETTER,Comme je suis impressionnée par la sagesse de nos décideurs!,fr
14,LETTER,le pouvoir de l’argent !,fr
15,LETTER,"Avant ma retraite, en décembre dernier, j’enseignais le français à des immigrants dont la majorité habite ce secteur.",fr
16,LETTER,J’ai constamment fait les louanges de cette belle ville qu’est Montréal.,fr
17,LETTER,Je leur laissais le loisir de découvrir par eux-mêmes les aberrations qu’on y rencontre aussi.,fr
18,LETTER,"Nous avons souvent parlé de « la montage », ce Mont-Royal si unique.",fr
19,LETTER,Mes étudiants m’en parlaient comme de leur premier souvenir à leur arrivée ici.,fr
20,LETTER,Souvenir parce qu’ils n’y retournent pas.,fr
21,LETTER,Ils ne peuvent pas y retourner.,fr
22,LETTER,"Jeunes familles sans voiture, c’est gênant de demander aux personnes qui les ont accueillies de les y amener à nouveau… Alors où vont-ils, ces immigrants, quand ils veulent être en contact avec un peu de verdure?",fr
23,LETTER,Il n’y a pas de parc dans les environs.,fr
24,LETTER,"Oui, c’est vrai, j’ai noté un petit parc pas loin (trois bancs) avec une installation pour les enfants en âge d’aller à la garderie.",fr
25,LETTER,Les autres enfants où jouent-ils?,fr
26,LETTER,"C’est vrai, je me rappelle aussi la présence d’un autre tout petit parc (un banc), coin Tupper et Dufort.",fr
27,LETTER,Le banc est judicieusement placé : assis confortablement on peut voir les voitures courser… pour ne pas manquer le feu vert au bout de la rue.,fr
28,LETTER,– et si on avait l’espace,fr
29,LETTER,"– on souhaiterait nous aussi dans le Sud-Ouest, avoir un Parc Lafontaine pour que les personnes de tout âge puissent en profiter.",fr
30,LETTER,"Pas un Parc Lafontaine réaménagé à grand frais, alors qu’il est apprécié par les citoyens dans son charme actuel.",fr
31,LETTER,Pas un parc pour donner une belle image aux touristes qui visitent Montréal.,fr
32,LETTER,"Un parc pour se promener ailleurs que sur le boulevard René-Lévesque (à six voies, je vous le rappelle) ou sur la rue Sainte-Catherine.",fr
33,LETTER,On crée des parcs pour que les chiens puissent courir en toute liberté.,fr
34,LETTER,Mais comment se fait-il qu’on ne puisse pas avoir autant de compassion pour de simples citoyens qui n’ont pas les moyens de sortir de la ville?,fr
35,LETTER,"Ils ont la chance d’avoir un balcon, dites-vous?",fr
36,LETTER,"Oui, ils ont parfois cette chance.",fr
