,speaker,sentence,lang
0,REPORT,Rapport de consultation  29 juillet 2016,fr
1,REPORT,-173   Projets de règlements P‐16‐037 et P‐04‐047‐173,fr
2,REPORT,"Office de consultation publique de Montréal 1550, rue Metcalfe, bureau 1414",fr
3,REPORT,Montréal (Québec) H3A 1X6,fr
4,REPORT,"514 872‐2556 Internet : www.ocpm.qc.ca Courriel : info@ocpm.qc.ca Dépôt légal ‐ Bibliothèque et Archives nationales du Québec, 2016",fr
5,REPORT,"Dépôt légal ‐ Bibliothèque et Archives Canada, 2016",fr
6,REPORT,ISBN 978‐2‐924002‐99‐5 (Imprimé)  Le masculin est employé uniquement afin d’alléger le texte.,fr
7,REPORT,Tous les documents déposés durant le mandat de la commission ainsi que les enregistrements de toutes les interventions publiques sont disponiblespour consultation aux bureaux de l’Office de consultation publique de Montréal.,fr
8,REPORT,"1550, rue Metcalfe Bureau 1414",fr
9,REPORT,Téléphone : (514) 872‐3568 Télécopieur : (514) 872‐2556 ocpm.qc.ca,fr
10,REPORT,"Montréal, le 29 juillet 2016",fr
11,REPORT,"Monsieur Denis Coderre, Maire Monsieur Pierre Desrochers, Président du comité exécutif Ville de Montréal 275,",fr
12,REPORT,rue Notre‐Dame Est Montréal (Québec)  Objet :,fr
13,REPORT,"Rapport de consultation publique sur le Projet immobilier du domaine des Franciscains Monsieur le Maire, Monsieur le Président du comité exécutif, J’ai le plaisir de vous remettre le rapport de l’Office de consultation publique de Montréal (OCPM) portant sur les projets de règlements visant à modifier le plan d’urbanisme et à autoriser la construction ainsi que l’occupation d’un ensemble résidentiel sur le domaine des Franciscains, sis sur le boulevard René‐Lévesque Ouest.",fr
14,REPORT,Ce projet de 360 unités de logement réparties en deux tours jumelles élevées sur un basilairecommun s’implanterait entre deux maisons victoriennes d’intérêt patrimonial sur un terrainlaissé vacant par un incendie survenu en 2010.,fr
15,REPORT,"Le projet, qui intègre aussi du logementabordable sur le site, prévoit également l’aménagement et le don de deux parcs d’accès public à la Ville.",fr
16,REPORT,"Plus de 200 participants ont assisté aux séances de consultation publique, 50 personnes s’y sontexprimées et 42 mémoires écrits ont été déposés.",fr
17,REPORT,"Ce large tour d’horizon a permis à lacommission de bien saisir les enjeux et les défis posés par le projet tant en termes de ses éléments descriptifs, qu’en matière d’intégration et d’impact sur le voisinage.",fr
18,REPORT,"À l’instar de quelques participants, la commission, sous réserve de quelques conditions etmodifications, estime que le projet de changement de vocation est acceptable et peutcontribuer à mettre en place les conditions nécessaires pour consolider la fonction résidentielledu quartier et accroitre sa mixité.",fr
19,REPORT,"Toutefois, à la lumière des interventions, elle constate Office de consultation publique de Montréal M. Denis Coderre M. Pierre Desrochers beaucoup de déception chez une majorité de citoyens et d’organismes quant à la capacité de ceprojet de participer à la réalisation des engagements importants du PPU du Quartier des grandsjardins, adopté en mai 2012, notamment en matière d’offre d’espaces verts et d’équipementscommunautaires adaptés aux besoins des familles, des jeunes et des ainés du quartier.",fr
20,REPORT,"Si le Projet du domaine des Franciscains traduit un effort louable du promoteur pour présenterun projet de qualité qui réponde aux objectifs initiaux du PPU, qui contribue au développementdurable et respecte la Stratégie de mixité sociale et d’inclusion, il soulève néanmoins un réelproblème d’acceptabilité sociale avec lequel l’arrondissement devra composer.",fr
21,REPORT,"La commission estime que les préoccupations des citoyens sont légitimes et ne tranche enfaveur du projet de rehaussement des hauteurs et de changement de vocation du site, que sousréserve que l’arrondissement procède dans les meilleurs délais à l’aménagement d’espacesverts additionnels et s’assure que, dans les prochains projets développés dans le quartier, lesbesoins en espaces communautaires et équipements collectifs soient pris en compte.",fr
22,REPORT,"À ce titre, elle y va de différentes recommandations pour la suite des choses qui permettraientd’atténuer les nuisances, d’augmenter l’acceptabilité du projet et d’améliorer le cadre de viedes résidents du quartier.",fr
