,speaker,sentence,lang
0,LETTER,Autoroute Bonaventure et viaduc du CN aujourd'hui.,fr
1,LETTER,dans la courbe du viaduc SHMLe quartier Bonaventure tel qu'imaginé,fr
2,LETTER,la troublante disparition du plus ancien bâtiment du New City Gas SHMCircuit proposé pour un SLR allant du centre-ville vers la Rive-Sud via le Pont Victoria et le stationnement Chevrier: le circuit le plus court et le moins couteux avec bretelles déjà en place autour de l'écluse St-Lambert Projet,fr
3,LETTER,MontréalTramway M&SC embarquant sur le porte-à-faux du Pont Victoria allant vers la Rive-Sud dans les années 1950,fr
4,LETTER,State MuseumDétail du porte-à-faux sous les passages routiers du Pont Victoria: les SLR passeraient seulement sur la partie solide à gauche.,fr
5,LETTER,Plan du Corridor d'autobus Dalhousie avec le New City Gas et l'édifice,fr
6,LETTER,de 1848 exhaussée d’un nouveau toit avec clairevoie en 1861;,fr
7,LETTER,"le tunnel Dalhousie serait percé ici NCGPlan de la structure en béton du tunnel Dalhousie plaquée devant la façade du New City Gas de 1848 LowneysFaçade néo-grecque en pierre de taille du New City Gas, contre laquelle on apposerait les immenses pieux et poutres du tunnel NCGÉdifice Rodier (1875): édifice signature à l'entrée traditionnelle du centreville de Montréal sur la rue Notre-Dame (à droite) BANQGooderham Building (1892): édifice signature à l'entrée traditionnelle du centre-ville de Toronto sur la rue FrontL'alignement d'autobus actuelle sur le circuit secondaire de la rue Inspecteur (environ 350 bus par jour);",fr
8,LETTER,Le Lowney's est à gauche et l'édifice,fr
9,LETTER,"Faubourg des Récollets (807-809 rue St-Paul), une authentique maison néo-grecque unifamiliale construite en pierre de taille en 1842 pour la classe moyenne émergeante, en face du Square Haymarket.",fr
10,LETTER,"Démolie durant l’été 2009 par la Ville pour la SHM D. HannaAutobus circulant sur le futur boulevard Bonaventure, tel que prévu dans les plans d'origine SHMDéclaration de la SHM du 9 janvier 2010 à savoir que le projet du corridor d’autobus Dalhousie est coulé dans le béton !",fr
