,speaker,sentence,lang
0,LETTER,Quartier Bonaventure Mémoire présenté à l’Office de consultation publique de Montréal,fr
1,LETTER,sur le corridor Dalhousie par l’association Transport 2000,fr
2,LETTER,Québec est une association nationale sans but lucratif qui a pour mission de défendre les droits et les intérêts des usagers du transport en commun ainsi que de promouvoir les transports collectifs et l’intégration des moyens de transport (intermodalité) depuis 1977.,fr
3,LETTER,"L’Association se déclare préoccupée par le maintien et l’amélioration de l’accessibilité par transport collectif pour les usagers de la Région métropolitaine au centre-ville de Montréal, cœur de la Métropole.",fr
4,LETTER,"Une présentation sur le fond de la question a d’ailleurs déjà été effectuée devant la Commission Nicolet, laquelle tenait des audiences publiques au printemps 20021.",fr
5,LETTER,"Cela étant dit, nous n’avons aucune hésitation à appuyer les principaux objectifs du projet de réaménagement de l’autoroute Bonaventure tels qu’énumérés dans le document Réaménagement de l’autoroute Bonaventure à l’entrée du centre-ville rendu public en avril 2007, soit :",fr
6,LETTER,- concevoir une entrée de ville prestigieuse et un lien manifeste entre le centre-ville et le bassin Peel ;,fr
7,LETTER,"- retisser le tissu urbain des secteurs environnants, soit le faubourg des Récollets et Griffintown ;",fr
8,LETTER,"- diminuer la circulation routière en privilégiant le transport collectif, tout en maintenant la fluidité de la circulation ;",fr
9,LETTER,"- améliorer la qualité et la sécurité de la circulation piétonnière de surface et souterraine, en liaison avec les réseaux de transport collectif ;",fr
10,LETTER,"- offrir des espaces publics agréables, sécuritaires et conviviaux pour les utilisateurs ;",fr
11,LETTER,- favoriser un développement immobilier vigoureux relié au centre-ville.,fr
12,LETTER,Nous croyons de plus que le dernier document Quartier Bonaventure,fr
13,LETTER,"- Le Nouveau Montréal, rendu public au mois de mars dernier, illustre bien comment l’effort de planification de la Société du Havre de Montréal (SHM) au cours des deux dernières années nous permet d’espérer que cette nouvelle entrée de ville prestigieuse deviendra réalité dans un avenir rapproché.",fr
14,LETTER,1 Voir annexe 1 : Choisir l’efficacité.,fr
15,LETTER,Mémoire présenté à la Commission de consultation sur l'amélioration de la mobilité entre Montréal et la Rive-Sud.,fr
16,LETTER,"Québec, version révisée de mars 2002.Vous ne serez pas surpris cependant, compte tenu de la mission de Transport 2000, que nos commentaires portent avant tout sur la proposition de la SHM d’aménager – dans le cadre du projet Quartier Bonaventure",fr
17,LETTER,un corridor exclusif au transport collectif.,fr
18,LETTER,L’autoroute Bonaventure joue en effet un rôle essentiel pour le transport collectif en provenance ou à destination de la Rive-Sud et de l’Île-des-Sœurs.,fr
19,LETTER,"Quant à nous, une chose est cruciale: la réalisation du projet Quartier Bonaventure doit non seulement protéger les acquis du transport collectif dans cet important corridor, mais améliorer la qualité du service offert aux usagers.",fr
20,LETTER,"Or, il n’est pas réaliste, compte tenu de la diminution du nombre de voies du corridor Bonaventure, actuellement 12 (dont 8 en configuration autoroutière), à 8 voies en configuration urbaine avec feux de circulation, de penser que cet objectif puisse être atteint en continuant de faire circuler les autobus de la Rive-Sud sur le futur boulevard urbain.",fr
