,speaker,sentence,lang
0,LETTER,Projet du Quartier Bonaventure Pour une solution intégrée de transport collectif Mémoire présenté à l’Office de consultation publique de Montréal sur l’avant-projet de réaménagement de l’autoroute Bonaventure,fr
1,LETTER,préparé par la direction Planification et développement des réseaux de la direction exécutive,fr
2,LETTER,Société de transport de Montréal 2Table des matières 1.,fr
3,LETTER,Présentation de la Société de transport de Montréal page 4 2.,fr
4,LETTER,Mise en contexte page 5 3.,fr
5,LETTER,Portrait de l’offre de service du secteur page,fr
6,LETTER,- Description de l’offre de transport collectif actuelle,fr
7,LETTER,- Demandes futures pour les déplacements locaux page 6 4.,fr
8,LETTER,Solution de transport collectif proposée dans le projet de la SHM page 7 4.1,fr
9,LETTER,- Déplacements en transport collectif régionaux page,fr
10,LETTER,- Déplacements en transport collectif locaux,fr
11,LETTER,Mesures préférentielles demandées par la STM dans l’axe Bonaventure,fr
12,LETTER,Recommandations de la STM page 10 7.,fr
13,LETTER,"Présentation de la Société de transport de Montréal Treizième entreprise en importance au Québec, la Société de transport de Montréal (STM) assure quelque 1,2 million de déplacements par jour.",fr
14,LETTER,"Elle emploie plus de 8 000 personnes, dont la moitié travaillent en contact direct avec la clientèle.",fr
15,LETTER,"En 2009, son budget s’élevait à plus de 1 G$ (1,5 G$ en incluant les investissements) et la valeur de remplacement de ses actifs était estimée à plus de 10 G$. Depuis plusieurs années, la gestion rigoureuse de la Société est reconnue notamment par la firme Standard and Poor’s, qui lui accorde la cote de crédit A+, la plaçant ainsi dans le peloton de tête des sociétés de transport en Amérique du Nord.",fr
16,LETTER,La STM est un acteur incontournable dans le secteur des transports.,fr
17,LETTER,"En effet, elle assure plus de 80 % des déplacements en transport collectif dans la grande région de Montréal et près des trois quarts de tous ceux effectués au Québec.",fr
18,LETTER,"En 2008, l’achalandage total a augmenté de 4,1 %, ce qui représente 382,5 millions de déplacements, soit 15 millions de plus qu’en 2007.",fr
19,LETTER,Il s’agit d’un record inégalé depuis 1949 !,fr
20,LETTER,"Pour soutenir cet achalandage, la Société possède, administre et développe un service de bus et de métro sur le territoire de l’île de Montréal.",fr
21,LETTER,"Outre son service régulier, elle fournit un service de transport adapté par des minibus et des taxis aux personnes handicapées ou à mobilité réduite.",fr
22,LETTER,"De plus, elle offre des services de transport collectif par taxi dans certains secteurs où la demande ne justifie pas un service de bus.",fr
23,LETTER,"Depuis près de 150 ans, la STM est au cœur du développement économique de la région de Montréal.",fr
