,speaker,sentence,lang
0,M. GAËTAN RAINVILLE,", Madame la Présidente, Messieurs les Commissaires, Mesdames etMessieurs en grand nombre, et je suis ravi de vous voir en si grand nombre, des gens quis’intéressent au projet du réaménagement de l’autoroute Bonaventure.",fr
1,M. GAËTAN RAINVILLE,"Alors, je vousprésente les membres de mon équipe qui m’accompagnent ce soir : monsieur RéjeanDurocher qui est directeur du projet Bonaventure;",fr
2,M. GAËTAN RAINVILLE,qui est à laconsole actuellement et qui va m’aider dans l’animation;,fr
3,M. GAËTAN RAINVILLE,"madame Sophie Mayes, qui esturbaniste et architecte de notre équipe aussi;",fr
4,M. GAËTAN RAINVILLE,"Nathalie Blouin, mon adjointe,qui est quelque part dans la salle.",fr
5,M. GAËTAN RAINVILLE,Je voudrais souligner aussi la présence de madameIsabelle Hudon qui est présidente du conseil d'administration de la Société du Havre.,fr
6,M. GAËTAN RAINVILLE,"Alors, au nom des membres du conseil d'administration et au nom de madameHudon, je vous remercie de vous intéresser à ce projet et, espérons-le, qu’au terme decette séance de consultation, on aura répondu à toutes vos questions et qu’on aurapossiblement bonifié le projet.",fr
7,M. GAËTAN RAINVILLE,"Alors, je suis également accompagné de monsieur Aurèle Cardinal qui estprésident du groupe Cardinal Hardy, qui prendra la parole tout à l'heure, pour parler d’unepartie d’aménagement du projet.",fr
8,M. GAËTAN RAINVILLE,"Et je voudrais souligner aussi la présence de nombreuxpartenaires et collaborateurs au projet qui sont ici pour m’accompagner, pour compléterles réponses qu’on pourrait amorcer déjà ici en équipe ou donner une réponse complèteaux questions qui seront formulées.",fr
9,M. GAËTAN RAINVILLE,Et je tiens à souligner particulièrement la présence demonsieur Michel Veilleux qui est vice-président planification et innovation à l’Agencemétropolitaine de transport.,fr
10,M. GAËTAN RAINVILLE,"D’entrée de jeu, je voudrais vous souligner que le projet que nous présentons cesoir est le fruit de nombreuses années de travail, sur lequel des équipes acharnées sesont penchées.",fr
11,M. GAËTAN RAINVILLE,Un travail de planification et de concertation de tous les instants.,fr
12,M. GAËTAN RAINVILLE,"Àcertains moments, plus de 200 personnes étaient au travail sur ce projet, incluant desingénieurs, des architectes, des urbanistes, des techniciens, des historiens, desarchéologues et j’en passe.",fr
13,M. GAËTAN RAINVILLE,"Fidèles à nos façons de faire et au grand souci de rigueur et de transparence, nefaisant face à aucune obligation d’aller en consultation à ce stade du projet, c'est sansobligation et de façon volontaire que nous avons recommandé à la Ville de Montréal desoumettre le projet en consultation publique par le biais de l’Office de consultationpublique de Montréal.",fr
14,M. GAËTAN RAINVILLE,"Je vous remercie d’y participer et si, au terme de cet exercice, le projet était bonifiépour mieux répondre aux besoins qu’il doit en principe satisfaire, nous en serons trèsheureux et l’exercice aura été profitable.",fr
15,M. GAËTAN RAINVILLE,"Alors, c’est dans cet état d'esprit que s’amorce laconsultation ce soir.",fr
