,speaker,sentence,lang
0,M. GAËTAN RAINVILLE,"Merci, Madame la Présidente.",fr
1,M. GAËTAN RAINVILLE,"Avant de faire quoi que ce soit d’autre, je voudraisvous déposer ce soir les documents dont on s’est engagé à les produire mardi soir, soit lesétats financiers des 3 dernières années de la Société du Havre, la présentation qui a étéfaite mardi soir, les comptages qui ont été faits pour les autobus la semaine dernière, demême que le rapport de la compagnie Tecsult daté d'avril 2007.",fr
2,LA PRÉSIDENTE,Ça sera versé au dossier de documentation.,fr
3,M. GAËTAN RAINVILLE,", Madame la Présidente, Messieurs les Commissaires, Mesdames etMessieurs que je remercie de vous intéresser au projet du réaménagement de l’autorouteBonaventure.",fr
4,M. GAËTAN RAINVILLE,Alors c’est au nom de la présidente du conseil d'administration et desmembres du conseil que je vous souhaite la bienvenue ce soir.,fr
5,M. GAËTAN RAINVILLE,Je vous présente lesmembres de mon équipe qui m’accompagnent ce soir : monsieur Réjean Durocher qui estdirecteur du projet Bonaventure;,fr
6,M. GAËTAN RAINVILLE,qui est à la console électronique;madame Sophie Mayes qui est urbaniste architecte;,fr
7,M. GAËTAN RAINVILLE,"de même que mon adjointe, NathalieBlouin.",fr
8,M. GAËTAN RAINVILLE,"Alors, d’entrée de jeu, je voudrais vous souligner que le projet que nous vousprésentons ce soir fait l’objet d’un travail acharné depuis plusieurs années par denombreux intervenants en termes de planification et de concertation avec les gens dumilieu, des gens que vous représentez ce soir.",fr
9,M. GAËTAN RAINVILLE,"À certains moments, plus de 200personnes ont travaillé à élaborer ce projet : ingénieurs, architectes, urbanistes,techniciens, archéologues, historiens.",fr
10,M. GAËTAN RAINVILLE,"Alors, de toutes les professions ont participé àl’élaboration du document qui vous est soumis ce soir, soit la synthèse des études d'avant-projet du réaménagement de l’autoroute Bonaventure dans sa phase 1.Fidèles à nos façons de faire et avec notre grand souci de rigueur et detransparence, mais ne faisant face à aucune obligation d’aller en consultation publique àce stade-ci du développement du projet, je voudrais souligner que c'est de façon volontaireque nous avons recommandé à la Ville de Montréal de demander à l’Office de consultationpublique de tenir une consultation publique sur ce projet à ce stade-ci.",fr
11,M. GAËTAN RAINVILLE,"Je vous remercied’y participer et si au terme de l’exercice le projet devait être bonifié pour mieux répondreaux besoins qu’il est en principe supposé satisfaire, nous en serons tous très heureux etl’exercice se sera avéré très profitable.",fr
12,M. GAËTAN RAINVILLE,"Alors, avant la présentation formelle, j’aimerais vous présenter un documentaudiovisuel d’une durée de 5 minutes, mais qui va vraiment mettre la table à tout ce qui vasuivre et qui, en si peu de temps, en si peu de mots et de belles images, va vousdémontrer exactement c'est quoi l’ampleur du projet, c’est quoi sa nature et quels sont lesobjectifs que l’on poursuit.(À CE STADE,",fr
