,speaker,sentence,lang
0,M. GAÉTAN RAINVILLE,"Madame la Présidente, bonsoir.",fr
1,M. GAÉTAN RAINVILLE,"Alors,je commence par d’abord déposer quelques documents, Madame la Présidente.",fr
2,M. GAÉTAN RAINVILLE,", un milieu de vie, daté du 26 novembre 2009,c’est la présentation qui vous a été faite de même qu’un document qui porte sur une seulepage et qui s’intitule Un autobus transporte autant de passagers que 50 automobiles et polluejusqu’à 18 fois moins et dont la source est la Régie régionale de la Santé et des Servicessociaux de Montréal-Centre.",fr
3,M. GAÉTAN RAINVILLE,"Alors, vous retrouverez le tout en 9 copies.",fr
4,LA PRÉSIDENTE,Ce sera déposé sur le site.,fr
5,M. GAÉTAN RAINVILLE,"Alors, je vous présente l’équipe qui m’accompagne ce soir.",fr
6,M. GAÉTAN RAINVILLE,"D’abord, monsieurRéjean Durocher de la Société du Havre ;",fr
7,M. GAÉTAN RAINVILLE,"Nicolas Bérubé, monsieur Stephan Kilner, monsieur Gilles",fr
8,M. GAÉTAN RAINVILLE,"Je suis également accompagné de nombreux collaborateurs et partenaires,collaborateurs de la ville-centre, des services corporatifs de la ville-centre de Montréal, demême que des représentants des deux arrondissements de Ville-Marie et du Sud-Ouest, etde nombreux partenaires aussi provenant de nos consultants, compagnies privées avec quinous avons fait affaire et avec qui nous faisons encore affaire, soient Genivar, le groupeCardinal Hardy, Daniel Arbour et Associés, de même que… j’en oublie un, de même queTecsult.",fr
9,M. GAÉTAN RAINVILLE,"- Et je sais que j’oublie quelqu’un, je vais y revenir tout à l'heure.",fr
10,M. GAÉTAN RAINVILLE,Je voudrais souligner dans la salle aussi la présence de partenaires importants pournous.,fr
11,M. GAÉTAN RAINVILLE,"qui représente la Société de Transport de Montréal,monsieur Michel Veilleux qui est vice-président à la planification et innovation à l’Agencemétropolitaine de transport, monsieur Guy Martin qui est directeur de Planification etDéveloppement au réseau de transport de Longueuil, monsieur Bernard Caron, directeur dela direction de Montréal du ministère des transports du Québec, de même que monsieur JeanHallé, directeur immobilier Canadien National.",fr
12,M. GAÉTAN RAINVILLE,"Alors, ces personnes-là seront appeléesultérieurement à m’aider à formuler des réponses à vos questions.",fr
13,M. GAÉTAN RAINVILLE,"Alors, le projet qui vous est soumis ce soir est un projet sur lequel nous travaillonsdéjà depuis des années, plusieurs années, et auquel nous avons mis à contribution ce quenous croyons être les meilleures expertises de Montréal.",fr
14,M. GAÉTAN RAINVILLE,"On va vous le présenter tout àl'heure, mais surtout sous son aspect de transport et circulation.",fr
15,M. GAÉTAN RAINVILLE,"La Société du Havre de Montréal, fière de sa façon de faire et fidèle à sa façon defaire depuis des années en matière de rigueur et de transparence, mais toutefois n’étant pastenue à tenir ces consultations publiques à ce stade-ci de développement du projet l’a quandmême fait et a demandé de façon volontaire à la Ville de Montréal de mandater l’Office deconsultation publique de Montréal de tenir la présente consultation.",fr
16,M. GAÉTAN RAINVILLE,"Alors, si au terme de cetexercice, le projet que nous vous soumettons devait être bonifié, nous l’accueillerons avecplaisir et nous en serons satisfaits et l’exercice se sera avéré profitable.",fr
17,M. GAÉTAN RAINVILLE,"Maintenant, étant donné que c'est la troisième session ce soir, je vois beaucoup devisages nouveaux, une des façons de bien présenter le projet sous tous ses aspects pourfaire ressortir son ampleur, ses objectifs, sa nature, c’est de vous présenter une animation quiva durer 5 minutes et, après quoi, vous aurez une présentation un peu plus formelle surl’aspect transport et circulation.",fr
18,M. GAÉTAN RAINVILLE,"Alors, je vous remercie et je vous demande d’écouter.erPRÉSENTATION D’UN VIDÉO DE 5 MINUTESAlors, comme vous l’avez vu avec la dernière image, c'est aussi une sortie de ville ;",fr
19,M. GAÉTAN RAINVILLE,"on veut que ce soit une entrée de ville percutante et saisissante, c’est aussi une sortie de villequi se veut magistrale.",fr
20,M. GAÉTAN RAINVILLE,"À partir de La Gauchetière, le point de vue sera extraordinaire de partet d’autre jusqu’au fleuve Saint-Laurent.",fr
21,M. GAÉTAN RAINVILLE,"Maintenant, l’objet de la consultation publique, il est important de dire ici que ce quivous est soumis ce soir, c’est l’ensemble du rapport d’avant-projet détaillé.",fr
22,M. GAÉTAN RAINVILLE,qu’on a appelé lasynthèse des études qui constitue au-delà d’une cinquantaine d’études qui sont résuméesdans ce document qui est disponible sur le site de l’OCPM et qui est aussi disponible surnotre site.,fr
23,M. GAÉTAN RAINVILLE,"Vous avez vu des bâtiments de différents gabarits, différentes hauteurs,différentes marges de recul.",fr
24,M. GAÉTAN RAINVILLE,"Dans le document audio-visuel, ce n’est pas ce sur quoi vousêtes consultés ce soir.",fr
25,M. GAÉTAN RAINVILLE,"Dans un deuxième temps, lorsque le projet sera rendu à développer des bâtiments, ily aura à nouveau un exercice de consultation publique auquel vous serez conviés et auquelvous aurez à donner votre opinion sur justement le type de bâtiments.",fr
26,M. GAÉTAN RAINVILLE,"Maintenant ce quevous avez vu, ce sont des images, ce sont des concepts et c'est ce dont on rêve.",fr
27,M. GAÉTAN RAINVILLE,"Alors, maintenant, pour procéder au plan de transport de Montréal et à la suite, je vaisdemander à monsieur Claude Carette, représentant de la Ville de Montréal de continuer laprésentation.",fr
28,M. CLAUDE CARETTE,"Donc, merci, Monsieur Rainville",fr
29,M. CLAUDE CARETTE,"Donc, comme vous le savez pour la plupart d’entrevous, Montréal a adopté dès l’été 2008 son premier plan de transport.",fr
30,M. CLAUDE CARETTE,"Avec ce plan detransport, on y propose une vision, une vision qui est ambitieuse, c'est-à-dire d’assurer lebesoin de mobilité de l’ensemble de montréalais en faisant de notre agglomération un endroitagréable à vivre, un pôle économique prospère tout en respectant son environnement.",fr
