,speaker,sentence,lang
0,MONSIEUR CLAUDE CARETTE,"Donc, ce qu’on va vous présenter, dans le fond, c’est lesrésultats des simulations de la situation future.",fr
1,MONSIEUR CLAUDE CARETTE,"C'est-à-dire,on a pris l’ensemble",fr
2,MONSIEUR CLAUDE CARETTE,"desdéplacements existants actuels, auxquels on a ajouté les nouveaux déplacements qui sontgénérés par les nouveaux générateurs qui sont, par exemple, les projets immobiliers dansle secteur qui sont projetés, en particulier les projets qui sont reliés au Plan Montréal 2025de la Ville de Montréal.",fr
3,MONSIEUR CLAUDE CARETTE,"Donc, ce qu’on voit ici, c'est la situation au niveau de la situation future.",fr
4,MONSIEUR CLAUDE CARETTE,"Donc, onva prendre une première vue, où ce qu’on se retrouve sur l’autoroute Bonaventure endirection du centre-ville.",fr
5,MONSIEUR CLAUDE CARETTE,"Vous voyez une voie réservée qui est aux autobus, qui est enamont du secteur urbanisé, dans le fond, au niveau de la zone centre.",fr
6,MONSIEUR CLAUDE CARETTE,"Les autobus vontarriver au niveau de l’intersection de la rue Brennan et on voit ici le mouvement des autobusen pointe PM, on se retrouve à la pointe PM, qui est la plus difficile à gérer pour nous auniveau du réseau routier de Montréal.",fr
7,MONSIEUR CLAUDE CARETTE,"Donc, ça vous donne une idée du nombre d’autobus qui peuvent se présenter àl’intersection Brennan et, lorsqu’on va offrir, évidemment, le temps vert, vous voyez lesmouvements, le rouge s’est allumé au niveau de la direction vers la Rive-sud et là lesautobus peuvent circuler et tourner sur la rue Dalhousie.",fr
8,MONSIEUR CLAUDE CARETTE,"Sur la rue Dalhousie,on voit le mouvement des autobus qui arrivent auxintersections, différentes intersections ;",fr
9,MONSIEUR CLAUDE CARETTE,la première intersection étant la rue Wellington et oncircule en direction du terminus centre-ville.,fr
10,MONSIEUR CLAUDE CARETTE,"Donc, on voit la gestion des feux de circulation,le mouvement des circulations.",fr
11,MONSIEUR CLAUDE CARETTE,"Ici, on voit seulement un effet visuel, dans le fond, de l’ensemble des simulations.",fr
12,MONSIEUR CLAUDE CARETTE,"Ces simulations-là sont basées sur des données au niveau de la gestion, le contrôle desfeux, donc tous les temps de phasage des verts ont été optimisés.",fr
13,MONSIEUR CLAUDE CARETTE,"Donc, ça va beaucoupdans le détail à ce niveau-là.",fr
14,MONSIEUR CLAUDE CARETTE,"On se retrouve ici dans la zone de l’arrêt d’autobus, donc une rue un petit peu pluslarge et on voit le mouvement des autobus qui se dirigent ou qui retournent, dans le fond,qui se dirigent vers le centre-ville mais qui retournent, évidemment, vers la Rive-sud.",fr
15,MONSIEUR CLAUDE CARETTE,"On va voir ici une vue, là on tombe dans le nouveau secteur où est-ce qu’il y a uneconstruction d’un certain tronçon de Dalhousie.",fr
16,MONSIEUR CLAUDE CARETTE,"Donc, on voit une vue en plan de ce quepourrait être, dans le fond, le secteur à proximité de la rue de l’Inspecteur.",fr
17,MONSIEUR CLAUDE CARETTE,"C’est dans cesecteur où on souhaite présentement, on est à travailler là-dessus, à décaler la rue NotreDame afin de laisser un espace plus large, plus distant des milieux bâtis, donc pouvoirmême avoir un espace public qui serait intéressant à aménager dans ce secteur-là.",fr
18,MONSIEUR CLAUDE CARETTE,"C'est,dans le fond, la simulation au niveau des autobus.",fr
19,MONSIEUR CLAUDE CARETTE,"On va voir maintenant le mouvement qui est important dans la direction de la Rivesud des autos, c’est le volume le plus important au niveau automobile.",fr
20,MONSIEUR CLAUDE CARETTE,"Donc, au niveau del’automobile, on voit les mouvements ici qui partent, on est au niveau de la rue NotreDame,on voit les mouvements de train,mouvements de train,on est capable de simuler également leset on se dirige vers… donc,on voyait,dans le fond,lesmouvements d’interblocage, on pouvait voir aussi l’interblocage parce que, nous, ce quiest important en pointe PM, dans le fond, c’est de voir l’interblocage des intersections et onréussit dans le futur, malgré les nouvelles générations de déplacement, à gérer cet interblocage-là.",fr
21,MONSIEUR CLAUDE CARETTE,"Donc, ça reste une rue avec un fort volume, mais on est capable de s’assurerqu’",fr
22,MONSIEUR CLAUDE CARETTE,il n’y a pas d’interblocage au niveau des rues transversales.,fr
23,LA PRÉSIDENTE,"Je rappelle à la salle que, pour donner la chance à tous, on aquand même de nombreux inscrits,de se limiter aux dix minutes allouées et à deuxquestions, et à garder une atmosphère de convivialité et de courtoisie.",fr
24,LA PRÉSIDENTE,"J’appellerais d’abord Monsieur Robert Hajaly, s’il vous plaît.",fr
25,MONSIEUR ROBERT HAJALY,"If you will excuse me, I just arrived.",en
26,MONSIEUR ROBERT HAJALY,I was here last night and it reallyarises out of what was said last night.,en
27,MONSIEUR ROBERT HAJALY,The first question is that I’m trying to understand whythe promoters here have rejected sending the buses either along the Duke or Nazareth’spossibility or alternatively along Peel.,en
28,MONSIEUR ROBERT HAJALY,"Now,if I remember correctly,this gentleman over here,I think it’s monsieurCharette, I’m not sure what his name is, explained that there was some difficulty in busesmaking, turning, if they chose the Duke and Nazareth path.",en
29,MONSIEUR ROBERT HAJALY,"But my French, I’m afraid, I’msorry, is not that good, and in any case even if he said that, I wasn’t quite sure what turninghe was talking about or whether he was talking about buses that are coming to the terminalor rather leaving the terminal, and so on.",en
30,MONSIEUR ROBERT HAJALY,So my first question is really to get a very clear,en
31,MONSIEUR ROBERT HAJALY,"and, I don’t want to say detailed, butvery definite, precise explanation of why it is that they rejected either sending the busesalong Duke and Nazareth or alternatively Peel.",en
32,LA PRÉSIDENTE,We will answer this first question.,fr
33,LA PRÉSIDENTE,"Monsieur Rainville, voulez-vous?",fr
34,MONSIEUR GAÉTAN RAINVILLE,", je demanderais à monsieur Carette, est-ce que c’est possible?",fr
35,MONSIEUR CLAUDE CARETTE,"Est-ce que c’est possible, Madame la Présidente, de présenter le concept, le pland’ensemble ?",fr
36,MONSIEUR CLAUDE CARETTE,"Oui, Madame la Présidente, est-ce que je peux répondre en français ?",fr
37,MONSIEUR CLAUDE CARETTE,"Donc, au niveau de la problématique qu’on observe sur labase de nos outils de modélisation au niveau de la situation si on souhaite implanter la voieréservée et de la conserver sur Bonaventure.",fr
