,speaker,sentence,lang
0,MONSIEUR SAMI HAKIM,", Madame la Présidente, Messieurs les Commissaires.",fr
1,MONSIEUR SAMI HAKIM,"Alors lors des séances d’information, nous avons entendu la présidente répéter quenous étions à la phase avant-projet.",fr
2,LA PRÉSIDENTE,"Je vais vous demander de conclure, Monsieur Hakim.",fr
3,MONSIEUR SAMI HAKIM,"Les citoyens défendront l’OCPM dans cette avenue, comme ils l’ont fait lors duprojet Griffintown.",fr
4,MONSIEUR SAMI HAKIM,"Et pour les mêmes raisons, nous voulons être écoutés, éduqués etconsultés, et non pas mis devant les faits accomplis.",fr
5,MONSIEUR SAMI HAKIM,"Je souhaite sincèrement que l’OCPM pourra mordre la main qui le nourrit et pourque, d’ici son dixième anniversaire, cet avant-projet ne sera qu’un souvenir lointain.",fr
6,LA PRÉSIDENTE,"On va vous garder avec nous pour quelques questions, MonsieurHakim.",fr
7,MONSIEUR SAMI HAKIM,"On peut parler du projet, si vous voulez.",fr
8,LA PRÉSIDENTE,"Précisément, de l’avant-projet.",fr
9,MONSIEUR VIATEUR CHÉNARD,"Monsieur Hakim, je voulais vous demander, vous mentionnez, entre autres à lapage 6 et à la page 21 de votre mémoire écrit, qui n’est pas tout à fait ce que vous nousavez présenté, mais que le scénario de base n’a pas été modélisé.",fr
10,MONSIEUR VIATEUR CHÉNARD,"peut-êtrejuste nous revenir un peu,le scénario de base,qu’est-ce que c’était,puis un peucomment, vous, vous voyez",fr
11,MONSIEUR VIATEUR CHÉNARD,Est-ce que c’est le scénario que vous privilégiez ?,fr
12,MONSIEUR SAMI HAKIM,"Le scénario de base, c’était le choix retenu par la SHM en début2007 jusqu’en avril 2008, si je me souviens bien.",fr
13,MONSIEUR SAMI HAKIM,"Cette option-là descendait sur la rueWellington et les autobus empruntaient les voies intérieures du boulevard urbain, commec’est indiqué au Plan de transport 2008 de la Ville.",fr
14,MONSIEUR SAMI HAKIM,"Bon, ce scénario de base coûtait 30M $ et ce 30M $ se trouvait dans l’enveloppe de90M $ qui avait été budgété en 2007.De plus,le scénario de base offre plusieursavantages : il n’y a aucune expropriation de nécessaire dans ce scénario, ce qui permet à laSHM d’accomplir un autofinancement de son projet, qui était un de ses grands chevaux-debataille dans le temps avant qu’ils aient dû faire ce compromis ;",fr
15,MONSIEUR SAMI HAKIM,"de plus, il y a aucunproblème de visibilité pour les chauffeurs et une réduction de 12 à 8 voies, donc on voit unprojet beaucoup plus sécuritaire que celui qui se trouve sur Dalhousie.",fr
16,MONSIEUR SAMI HAKIM,Le partage des polluants se trouve entre deux arrondissements.,fr
