,speaker,sentence,lang
0,MME PATRICIA VIANNAY,"Donc, moi, je suis Patricia Viannay",fr
1,MME PATRICIA VIANNAY,"Je m’adresse à vous aujourd’hui au nom duPOPIR–Comité Logement, qui est le Comité logement qui intervient dans le Sud-Ouest deMontréal, notamment à la Petite-Bourgogne.",fr
2,MME PATRICIA VIANNAY,Séance de l’après-midi du 13 janvier 2010Notre,fr
3,MME PATRICIA VIANNAY,"travail, nous, quotidiennement, finalement, c’est la défense des droits deslocataires de la Petite-Bourgogne, de Saint-Henri, Ville-Émard et Côte Saint-Paul.",fr
4,MME PATRICIA VIANNAY,"Et plusparticulièrement, on travaille à les aider à se maintenir dans leur milieu de vie, dans desconditions décentes, aussi bien en termes de condition de logement que d’aménagementaussi de leur environnement.",fr
5,MME PATRICIA VIANNAY,Pourquoi on dépose un mémoire aujourd’hui?,fr
6,MME PATRICIA VIANNAY,"Finalement, pourquoi on s’intéresse àce projet-là de la Société du Havre de Montréal?",fr
7,MME PATRICIA VIANNAY,"Bien, dans un premier temps, parcequ’évidemment une partie du projet se passe directement sur le territoire sur lequel noustravaillons, la Petite-Bourgogne.",fr
8,MME PATRICIA VIANNAY,"Donc, c’est sûr que ça nous interpelle, nous, et plusparticulièrement les résidants.",fr
9,MME PATRICIA VIANNAY,"Et puis, bien, le projet, pour nous, soulève différents enjeuxsur lesquels, là, je vais rentrer un petit peu plus en détail, mais qu’on trouvait important desoulever dans le cadre de cette consultation.",fr
10,MME PATRICIA VIANNAY,"Donc, dans un premier temps, nous, on s’est beaucoup interrogés avec les gensavec qui on travaille sur le nouveau Montréal dont on parle beaucoup autour de ce projet-làet par qui a été décidé, finalement, ce nouveau Montréal.",fr
11,MME PATRICIA VIANNAY,"Notre pratique, au POPIR-Comité Logement, repose vraiment sur des principesd’éducation populaire, de participation citoyenne.",fr
12,MME PATRICIA VIANNAY,"Et je peux vous dire que nos membres, lesgens avec qui on travaille et nous-mêmes, ne nous reconnaissons pas vraiment dans leprocessus qui a amené à ce projet-là.",fr
13,MME PATRICIA VIANNAY,"C’est sûr qu’il y a eu des sessions d’information au cours des dernières années, maisà chaque fois l’essentiel était déjà décidé.",fr
14,MME PATRICIA VIANNAY,"Le projet de faire un boulevard urbain plutôtqu’une autoroute, l’objectif d’une entrée de prestige à Montréal, l’idée de ramener le centreville au bord du fleuve, c’est pas des décisions auxquelles les gens avec qui on travaille ontparticipé.",fr
15,MME PATRICIA VIANNAY,"Ils en ont été informés, mais ils n’ont pas été impliqués en amont de ce processus.",fr
16,MME PATRICIA VIANNAY,"Donc, nous, ça nous interpelle beaucoup.",fr
17,MME PATRICIA VIANNAY,"On a le souci vraiment de cesser, et unpeu ce qu’on sent, il y a beaucoup, à Montréal, de la privatisation de l’aménagement duterritoire où, finalement, ce n’est plus un exercice citoyens.",fr
18,MME PATRICIA VIANNAY,"Les citoyens sont très peuimpliqués sauf à la fin du projet, dans le cadre de consultations comme celle-ci.",fr
19,MME PATRICIA VIANNAY,"Donc, ça, c’était un premier enjeu qu’on souhaitait soulever.",fr
20,MME PATRICIA VIANNAY,"Ensuite, je vais reprendre, bon, ce vocable du « nouveau Montréal », parce que c’estsûr que ça a beaucoup interpellé les locataires, les membres avec qui on travaille, puis cenouveau Montréal, il repose sur quels principes, hein?",fr
21,MME PATRICIA VIANNAY,"Nous, notamment, on penseévidemment à la place de la voiture dans ce projet-là.",fr
22,MME PATRICIA VIANNAY,Séance de l’après-midi du 13 janvier 2010Comme POPIR,fr
23,MME PATRICIA VIANNAY,", on est très impliqué, depuis plus de deux ans,dans la reconstruction de l’échangeur Turcot.",fr
24,MME PATRICIA VIANNAY,"Donc, je peux vous dire que la voiture et laplace de la voiture au centre-ville de Montréal, c’est devenu une préoccupation trèsimportante pour nos membres, que ce soit Turcot ou l’autoroute Bonaventure, et on fait desliens dans ces deux dossiers, parce que pour nous, comme pour l’échangeur Turcot, bien,toute la rénovation de l’autoroute Bonaventure continue à placer l’automobile, la voiture solo,finalement, au centre-ville.",fr
25,MME PATRICIA VIANNAY,"Sa place au centre-ville n’est pas ou pas assez, selon nous,remise en question dans ce projet-là.",fr
26,MME PATRICIA VIANNAY,"Donc, on nous parle d’un...",fr
27,MME PATRICIA VIANNAY,"c’est notre compréhension, en tout cas, du projet.",fr
28,MME PATRICIA VIANNAY,"Onremplace une autoroute par une autre, qu’on appelle boulevard urbain, mais ça reste un lieuoù la voiture a une place privilégiée.",fr
29,MME PATRICIA VIANNAY,"On ne mise pas sur le développement, par exempled’une autre façon d’entrer à Montréal, par exemple, par rails ou... c’est pas assez présentpour nous dans le projet.",fr
30,MME PATRICIA VIANNAY,"Et pourtant, on parle du nouveau Montréal, du Montréal de demain.",fr
31,MME PATRICIA VIANNAY,"Donc, comment se fait-il qu’on reste sur des principes essentiellement des années60, la place de la voiture?",fr
32,MME PATRICIA VIANNAY,"Puis c’est ce qu’on vit avec Turcot, c’est ce qu’on vit encore iciavec Bonaventure.",fr
33,MME PATRICIA VIANNAY,"On voit qu’il y a des objectifs de réduction du nombre de voitures, maisc’est beaucoup basé sur les changements d'habitudes.",fr
