,speaker,sentence,lang
0,M. YVES BEAUCHAMP,"Bien, je voulais dans un premier tempsremercier les membres de la commission de me donner l’opportunité de présenter la positionde mon institution, l’École de technologie supérieure, au projet de l’autoroute Bonaventure.",fr
1,M. YVES BEAUCHAMP,"Leplan de présentation, il est très simple : présentation de l’école, en bref, son campus, sa visiond’un quartier d’innovation beaucoup plus vaste qui inclurait le quartier Bonaventure, et lescommentaires sur, spécifiquement sur le projet en question.",fr
2,M. YVES BEAUCHAMP,L’École a pour mission l’,fr
3,M. YVES BEAUCHAMP,", la recherche en génied’application : c’est une mission nationale qui couvre l’ensemble du Québec pour ledéveloppement technologique et économique;",fr
4,M. YVES BEAUCHAMP,"même si elle est solidement ancrée dans lesud-ouest de Montréal, elle dessert l’ensemble des régions du Québec.",fr
5,M. YVES BEAUCHAMP,"Première au Québec en termes de nombre de diplômés annuellement, troisième auCanada, après Toronto et Waterloo, 5 500 étudiants dont 1 200 au cycle supérieur, 300 audoctorat, 1 500 nouveaux à chaque année dans nos 45 programmes aux trois cycles.",fr
6,M. YVES BEAUCHAMP,"Uningénieur sur quatre, actuellement au Québec, diplôme de notre institution;",fr
7,M. YVES BEAUCHAMP,"l’an dernier, nousavons diplômé 750 ingénieurs, la plus importante cohorte de l’histoire du Québec en ce qui atrait au nombre d’ingénieurs en une seule année.",fr
8,M. YVES BEAUCHAMP,"Taux de placement de 100 %, quatre à cinq offres d’emploi par étudiant, même ensituation de crise économique.",fr
9,M. YVES BEAUCHAMP,On opère en système coopératif obligatoire;,fr
10,M. YVES BEAUCHAMP,"3 200 offres destages annuelles, seulement 2 150 stagiaires à placer.",fr
11,M. YVES BEAUCHAMP,"Recherche et développement, 20millions par année, dont la moitié vient de l’industrie ─ la plus forte proportion au Canada,d’ailleurs, pour une université ─, des chaires de recherche, des regroupements, unincubateur, où on a créé déjà 64 entreprises sur le campus.",fr
12,M. YVES BEAUCHAMP,"L’ÉTS s’est installée dans le Sud-Ouest en 97, et elle converge de plus en plus versun campus pleinement intégré au centre-ville de Montréal.",fr
13,M. YVES BEAUCHAMP,"Depuis 1997, nous avons acquisun",fr
14,M. YVES BEAUCHAMP,"certain nombre de terrains par expropriation, dont l’ancienne brasserie O’Keefe;",fr
15,M. YVES BEAUCHAMP,nousavons investi près de 250 millions depuis les 10 dernières années pour instituer un campusau centre-ville de Montréal.,fr
16,M. YVES BEAUCHAMP,"Nous nous sommes interrogés également sur le développement futur d’aires nondéveloppées au niveau du campus, essentiellement des terrains qui sont encore vagues, ainsique l’ancienne brasserie O’Keefe, et les conclusions de notre réflexion nous amènent àdépartager le campus en deux zones : la partie est pour les partenariats avec l’industrie, ainsique la partie ouest pour les développements institutionnels.",fr
17,M. YVES BEAUCHAMP,"Déjà, nous avons un projet de maison des étudiants qui devrait voir le jour en 2013, oùnous souhaitons essentiellement regrouper l’ensemble des services aux étudiants,associations étudiantes, ainsi que des installations sportives tels aréna et, sur le toit, un terrainde soccer, des installations qui serviront également pour les habitants, les citoyens du Sud150Ouest, Ville-Marie, enfin, bref, un projet collectif, incluant aussi bien l’Université que sacommunauté.",fr
18,M. YVES BEAUCHAMP,"Un projet également de résidences étudiantes, nous avons actuellement 1 000 lits surle campus, nous voulons en construire encore pour accueillir 250 nouveaux étudiants, ce quinous amènerait à 1 250 lits sur le campus, d’où la mission nationale qui nous amène à avoirbeaucoup d’étudiants de l’extérieur de Montréal qui habitent sur le campus;",fr
19,M. YVES BEAUCHAMP,"une résidence quiserait principalement dédiée pour les étudiants étrangers, mais aussi pour des professeurs etchercheurs en courts séjours, en déplacement pour des projets de recherche etdéveloppement.",fr
20,M. YVES BEAUCHAMP,"Le site de l’ancienne brasserie, pour des projets en relation avec l’industrie, déjà, nousavons obtenu 20 millions, au printemps dernier, pour réhabiliter 100 000 pieds carrés de cetteportion de l’ancienne brasserie O’Keefe, qui sera disponible dès le printemps 2011, pour lacréation d’un centre d’innovation, où nous accueillerons une vingtaine de cellulesd’entreprises, des cellules d’innovation",fr
21,M. YVES BEAUCHAMP,", ce n’est pas un incubateur, c’est pour accueillirdes cellules d’innovation d’entreprises, moyennes et grandes entreprises, où les ingénieurs etchercheurs de ces entreprises auront accès à nos installations, nos chercheurs, nosétudiants, nos stagiaires, enfin, bref, la synergie nécessaire pour créer de l’innovation,développer et accélérer les projets d’innovation dans les entreprises.",fr
22,M. YVES BEAUCHAMP,"Nous avons déjà unincubateur, on n’a pas besoin d’en créer un autre.",fr
23,M. YVES BEAUCHAMP,"Si le projet se déroule bien, ce qui est le cas présentement, une deuxième phase de100 000 pieds carrés sera également à entrevoir et, dans tous les cas, c’est une réhabilitationconforme du bâtiment existant avec une certification LEED pour ce qui est du développementfutur du campus.",fr
24,M. YVES BEAUCHAMP,"Nous avons également réfléchi sur le campus qui, déjà, est un quartier d’innovation ensoi, mais nous voulons étendre ce concept-là à un rayon où il y a plusieurs partenaires etindustries qui y sont déjà installés.",fr
