Mots,vert_gris,Catégorie
ges,gris,climat
carbone,gris,climat
carbonique,gris,climat
gaz,gris,climat
fossile,gris,climat
fossiles,gris,climat
émissions,gris,climat
climat,gris,climat
climatique,gris,climat
réchauffement,gris,climat
pollution,gris,climat
polluer,gris,climat
carboneutre,gris,climat
carboneutralité,gris,climat
décarbonisation,gris,climat
énergivore,gris,climat
énergivores,gris,climat
résilience,gris,climat
résilient,gris,climat
résiliente,gris,climat
résilients,gris,climat
résilientes,gris,climat
renouvelable,gris,climat
renouvelables ,gris,climat
solaire,gris,climat
solaires ,gris,climat
éolienne,gris,climat
éoliennes,gris,climat
empreinte,gris,climat
empreintes,gris,climat
