,file,speaker,sentence,lang
0,citizen_sub_8a3,LETTER,Transforming the Bonaventure into a boulevard By Harvey Lev Table of Contents 1) Introduction- Reflections on the Proposed Urban Blvd 2),en
1,citizen_sub_8a3,LETTER,The democratic Process - mockery 3) Costs - The Project is disrespectful of taxpayers monies 4) Security - The destruction of a safe environment 5) Economics - The impact on me and my neighbourhood 6) Le patrimoine & heritage & Culture - the disrespect of history 7) Le corridor de pelletage d’autobus - hidden agendas 8) Alternatives - ideas to improve the projectIntroduction My name is Harvey Lev and I am a long time (over 40 year business and property owner and resident of this neighbourhood).,en
2,citizen_sub_8a3,LETTER,I feel I must voice my concerns and they are many.,en
3,citizen_sub_8a3,LETTER,"I will try and be concise, however as I am directly effected by the bus corridor on Dalhousie most of my effort has been directed toward this.",en
4,citizen_sub_8a3,LETTER,This in no way diminishes my concern about the project as a whole.,en
5,citizen_sub_8a3,LETTER,The purpose of this brief is to question the need for this dangerous & expensive project in an area that has affordable alternatives and to voice my concern over the lack of any consultations during the entire process.,en
6,citizen_sub_8a3,LETTER,"I wear 3 hats 1) as a property owner, resident (New City Gas as well as others) and business owner directly affected by this project.",en
7,citizen_sub_8a3,LETTER,2) as a long term resident of Griffintown (since 1963) and as a member of the chambre du commerce Griffinoise.,en
8,citizen_sub_8a3,LETTER,co-organizer of the corridor culturel Griffintown 3) As a citizen of Montreal.,en
9,citizen_sub_8a3,LETTER,"The democratic Process I believe in democracy The SHM in their in the QUARTIER LE NOUVEAU MONTRÉAL Réaménagement de l’autoroute Bonaventure, phase 1/ Synthèse des études de l’avant-projet détaillé, mars 2009 MESSAGE DE LA PRÉSIDENTE DU CONSEIL D’ADMINISTRATION ET DU PRÉSIDENT-DIRECTEUR GÉNÉRAL with accompanying photos, claim to adhere to these principles.",en
10,citizen_sub_8a3,LETTER,"In the French version they use “une concertation continue auprès des Montréalais intéressésau développement du havre” “inclusif” et “Un des plus larges concensus”, “un véritable milieu de vie”.",fr
11,citizen_sub_8a3,LETTER,In the English version they use words such as “continuous dialogue”.,en
