,file,speaker,sentence,lang
0,citizen_sub_8b13,LETTER,"Mon entreprise, Les Aliments Chatel inc.",fr
1,citizen_sub_8b13,LETTER,", est établie dans le sud-ouest de Montréal depuis 1920 et au 383 rue Bridge à Pointe St-Charles depuis trente ans .",fr
2,citizen_sub_8b13,LETTER,C'est avec beaucoup d'intérêt que j'ai pris connaissance du rapport détaillé présenté par la Société du Havre sur l'important projet Quartier Bonaventure .,fr
3,citizen_sub_8b13,LETTER,Il ne fait aucun doute qu'il s'agit là d'une analyse en profondeur très compétente d'un projet qui contribuera tant au renouveau urbanistique et au rayonnement international de Montréal qu'à la la qualité de vie et à la fierté de ses citoyens .,fr
4,citizen_sub_8b13,LETTER,"Je suis d'autant plus intéressé à ce plan d'action que j'ai moi-même participé à l'élaboration antérieure du plan stratégique présenté par la Société du Havre sous le titre Vision 2025 et qu'il me paraît tout à fait anormal que le secteur Bonaventure qui jouxte tant le centre-ville de Montréal et le Vieux-Montréal que le port et le fleuve Saint-Laurent soit encore aujourd'hui autant sous-développé at déstructuré , lui qui a pu sembler à divers moments promis à un si bel avenir .",fr
5,citizen_sub_8b13,LETTER,"Ce qui étonne et déçoit également , ce sont les embûches et les contestations de toutes sortes qui viennent inévitablement compliquer, retarder ou simplement empêcher la réalisation de projets majeurs structurants qui auraient pu ou pourraient encore donner à ce secteur le regain de vie et l'élan qui lui font tant défaut .",fr
6,citizen_sub_8b13,LETTER,"Au début des années ' 80 , il y a eu le projet de prolonger la rue Bridge dans son axe naturel , la rue Guy , afin de faciliter l'accès au centre-ville par le pont Victoria .",fr
7,citizen_sub_8b13,LETTER,Ce projet a été abandonné essentiellement en raison de l'opposisition des riverains de la rue Guy .,fr
8,citizen_sub_8b13,LETTER,"En 2002 , l'excavation du Bassin Peel et la réouverture du canal de Lachine à la navigation de plaisance semblaient très prometteuses .",fr
9,citizen_sub_8b13,LETTER,Ceci ne constituait cependant que la phase 1 des travaux .,fr
10,citizen_sub_8b13,LETTER,"L'annonce du début des travaux de la phase 2 se fait toujours attendre , témoignant peut-être d'un essouflement de l'esprit visionnaire des autorités concernées .",fr
11,citizen_sub_8b13,LETTER,"En 2006 , l'exceptionnel projet Loto-Québec / Cirque du Soleil a avorté en raison de l'opposition de certains groupes de pression et du manque de courage des gouvernements du Québec et de Montréal .",fr
12,citizen_sub_8b13,LETTER,"Plus récemment encore , les projets Griffintown et Cour de triage du CN ont fait l'objet de contestations dont certaines étaient animées par des intérêts partisans et à courte-vue .",fr
13,citizen_sub_8b13,LETTER,Quartier Bonaventure semble compter plus de supporteurs que de détacteurs .,fr
14,citizen_sub_8b13,LETTER,"Quant au corridor Dalhousie réservé au transport par autobus , il est contesté par certains .",fr
15,citizen_sub_8b13,LETTER,"Quant à nous , il nous semble constituer une approche très intéressante puisqu'il : - augmente en quantité et en qualité le potentiel de transport en commun vers le centre-ville , - améliore la fluidité de la circulation automobile sur le nouveau boulevard urbain Bonaventure-University , - se situe dans un axe pratiquement inoccupé , sauf par des stationnements , et relativement facile à aménager , et - minimise les inconvénients pour les rares occupants du quartier .Quant aux propositions de certains de fermer les liens d'accès ( entrée et sortie ) reliant l'autoroute Ville-Marie et le nouveau boulevard urbain afin de justifier l' établissement du corridor autobus en remplacement d'une des voies prévues pour la circulation automobile plutôt que dans l'axe Dalhousie , nous les trouvons irréalistes étant donné que :",fr
16,citizen_sub_8b13,LETTER,"- l'autoroute Bonaventure ne sert pas seulement de voie d'accès au centre-ville pour les banlieusards de la rive sud mais constitue également l'entrée principale à Montréal pour l'ensemble des visiteurs du Québec et des touristes en provenance des Etats-Unis , automobilistes dont la destination n'est pas nécessairement le centre-ville .",fr
17,citizen_sub_8b13,LETTER,- la fermeture de ces accès occasionnera inévitablement l'encombrement des rues avoisinantes par ceux qui devront trouver non sans grande frustration une autre avenue pour entrer ou sortir de l'autoroute .,fr
18,citizen_sub_8b13,LETTER,"Il existe sans doute de nombreuses autres considérations techniques , économiques , sociales et culturelles qui militent en faveur du projet Quartier Bonaventure tel que proposé par la Société du Havre et qui dépassent ma connaissance de tels enjeux .",fr
19,citizen_sub_8b13,LETTER,"Je ne peux toutefois que souhaiter que toutes les parties prenantes à ce beau et grand projet sauront faire preuve de l'esprit visionnaire , du sens du compromis et de l'audace essentiels à sa réalisation dans les meilleurs délais .",fr
20,citizen_sub_8b13,LETTER,"Cordialement vôtre , Gilles Chatel Président du conseil",fr
