,file,speaker,sentence,lang
0,report_report,LETTER,"Projet de réaménagement de l’autoroute
Bonaventure
(",fr
1,report_report,LETTER,"Avant-projet détaillé – phase 1)
",fr
2,report_report,LETTER,"Le 18 mars 2010
Édition et diffusion
",fr
3,report_report,LETTER,"Office de consultation publique de Montréal
1550, rue Metcalfe, bureau 1414
",fr
4,report_report,LETTER,"Montréal (Québec) H3A 1X6
Tél.",fr
5,report_report,LETTER,":

Téléc. : 514 872-2556
Internet : www.ocpm.qc.ca
Courriel : ocpm@ville.montreal.qc.ca
",fr
6,report_report,LETTER,"- Bibliothèque et Archives nationales du Québec, 2007
",fr
7,report_report,LETTER,", 2007
ISBN 978-2-923638-38-8 (imprimé)

",fr
8,report_report,LETTER,"Le masculin est employé pour alléger le texte.
Tous les documents déposés durant le mandat de la commission ainsi que les enregistrements de toutes les interventionspubliques sont disponibles pour consultation aux bureaux de l’Office de consultation publique de Montréal.
1550, rue Metcalfe
Bureau 1414
Montréal (Québec) H3A 1X6
",fr
9,report_report,LETTER,"Téléphone : 514 872-3568
Télécopieur : 514 872-2556
ocpm.qc.ca
",fr
10,report_report,LETTER,"Montréal le 18 mars 2010
",fr
11,report_report,LETTER,"Monsieur Gérald Tremblay, maire
Ville de Montréal
275, rue Notre-Dame Est
",fr
12,report_report,LETTER,Rapport de consultation publique sur le projet de réaménagement del’autoroute Bonaventure (avant-projet détaillé,fr
13,report_report,LETTER,"Monsieur le Maire,
J’ai le plaisir de vous remettre le rapport de l’Office de consultation publique portant surla Phase 1 du projet de réaménagement de l’autoroute Bonaventure par la Société du
Havre de Montréal (SHM).",fr
14,report_report,LETTER,"La reconfiguration de l’ensemble de cet axe routiermontréalais, qui joue actuellement un rôle fondamental du point de vue du transportcollectif interrives, est d’une grande pertinence pour l’avenir de Montréal, de l’avis d’unetrès forte majorité de participants à la consultation.",fr
15,report_report,LETTER,Le concept présenté par la SHM a lemérite de viser de hauts standards d’aménagement.,fr
16,report_report,LETTER,La commission regrette cependantque la vision d’ensemble,fr
17,report_report,LETTER,"des trois phases du projet ait à peine été effleurée en public.
Plusieurs intervenants ont souligné que les choix de reconfiguration qui seront faits dansla première phase risquent de restreindre ou d’influencer considérablement les optionsdisponibles dans les phases ultérieures.
Dans la première phase de ce grand projet, la SHM propose de créer le Quartier
Bonaventure, un nouveau milieu de vie de type centre-ville, (édifices à bureau, toursrésidentielles, place publique…).",fr
18,report_report,LETTER,"Elle prévoit, à cette fin, de développer en ensembleimmobilier mixte, les terrains libérés au centre de l’emprise de l’autoroute Bonaventurereconfigurée en boulevard.",fr
19,report_report,LETTER,"Voici les principaux constats révélés par la consultationpublique.
",fr
20,report_report,LETTER,"Des projets immobiliers déjà en attente
Volet édifices à bureaux.",fr
21,report_report,LETTER,"Plusieurs témoignages reçus ont fait ressortir le peu dedemande, à Montréal, pour de nouveaux projets de type centre-ville.",fr
22,report_report,LETTER,"Grâce à salocalisation, le Quartier Bonaventure pourrait sans doute constituer un nouveau couloirintéressant pour les occupants d’espaces à bureaux, près du havre.",fr
23,report_report,LETTER,"Toutefois, il existeactuellement une quantité déjà excédentaire de propriétés ou de terrains prêts à
développer, tant au centre-ville que dans le Quartier international et la Cité
internationale.",fr
24,report_report,LETTER,"Certains de ces terrains sont dans le voisinage immédiat du secteur
Page 2
",fr
25,report_report,LETTER,"M. Gérald Tremblay
d’intervention et d’autres sont situés au centre-ville1.",fr
