,Topic,Count,Name,keywords
0,-1,540,-1_downtown_expressway_buses_metro,"[('downtown', 0.46017385), ('expressway', 0.45780605), ('buses', 0.42197096), ('metro', 0.4187042), ('corridor', 0.40597898), ('ottawa', 0.40572906), ('buildings', 0.3924536), ('bus', 0.3828795), ('city', 0.34319863), ('traffic', 0.33609128)]"
1,0,105,0_lanes_highways_expressway_highway,"[('lanes', 0.59467953), ('highways', 0.58546513), ('expressway', 0.57356864), ('highway', 0.54586124), ('roads', 0.54032135), ('boulevards', 0.5320448), ('road', 0.5214597), ('boulevard', 0.51911265), ('traffic', 0.480712), ('lane', 0.47991067)]"
2,1,89,1_consultations_consultation_proposals_commission,"[('consultations', 0.4393978), ('consultation', 0.43838567), ('proposals', 0.38887954), ('commission', 0.38283682), ('hearings', 0.36354214), ('proposal', 0.34751838), ('commissioners', 0.32924306), ('governing', 0.32649493), ('process', 0.32067257), ('meetings', 0.28819078)]"
3,2,79,2_une_pas_logement_dans,"[('une', 0.536469), ('pas', 0.5149851), ('logement', 0.50660545), ('dans', 0.49013072), ('autre', 0.44381875), ('de', 0.43982822), ('le', 0.43940336), ('des', 0.41961622), ('parce', 0.40770563), ('en', 0.39180666)]"
4,3,74,3_redevelopment_griffintown_sustainable_neighbourhood,"[('redevelopment', 0.62206423), ('griffintown', 0.5245198), ('sustainable', 0.45172837), ('neighbourhood', 0.34639195), ('residents', 0.30513257), ('committee', 0.30114302), ('bonaventure', 0.29801682), ('homes', 0.29576492), ('quartier', 0.2766956), ('heritage', 0.27666432)]"
5,4,71,4_questions_ask_fewquestions_ofquestions,"[('questions', 0.53218865), ('ask', 0.4856174), ('fewquestions', 0.46146148), ('ofquestions', 0.40349644), ('question', 0.36438957), ('responses', 0.3609101), ('vague', 0.3608734), ('14questions', 0.34599498), ('answering', 0.34215498), ('brief', 0.33122402)]"
6,5,58,5_bus_corridor_dalhousie_buses,"[('bus', 0.5230875), ('corridor', 0.5213019), ('dalhousie', 0.50843704), ('buses', 0.5042981), ('lanes', 0.35942453), ('passengers', 0.32750928), ('boulevards', 0.3243249), ('metro', 0.30408472), ('lane', 0.30221272), ('traffic', 0.29672232)]"
7,6,55,6_redevelopment_redeveloped_neighbourhoods_revitalization,"[('redevelopment', 0.66828513), ('redeveloped', 0.5874586), ('neighbourhoods', 0.54399127), ('revitalization', 0.52056456), ('urban', 0.47084036), ('neighbourhood', 0.46097988), ('city', 0.4544019), ('housing', 0.40373343), ('zoning', 0.40304488), ('residents', 0.3919165)]"
8,7,55,7_montreal_montreals_montrealers_mcgill,"[('montreal', 0.64941585), ('montreals', 0.61938864), ('montrealers', 0.59956825), ('mcgill', 0.5035245), ('tourists', 0.36569512), ('ville', 0.35516503), ('city', 0.31657177), ('streets', 0.30654213), ('montral', 0.30536658), ('borough', 0.28938353)]"
9,8,45,8_buses_bus_transport_busservice,"[('buses', 0.58521116), ('bus', 0.57087183), ('transport', 0.4292274), ('busservice', 0.38916633), ('passengers', 0.3737881), ('1400buses', 0.35487813), ('automobiles', 0.3465319), ('passenger', 0.31337285), ('vehicles', 0.30350915), ('traffic', 0.2982772)]"
10,9,37,9_rainville_projectmrainville_mrainville_residents,"[('rainville', 0.579388), ('projectmrainville', 0.48189032), ('mrainville', 0.37695593), ('residents', 0.31448781), ('meeting', 0.27926826), ('shm', 0.27470183), ('city', 0.25505313), ('consulted', 0.23948696), ('buildings', 0.23103404), ('question', 0.22884247)]"
11,10,33,10_buildings_building_construction_demolition,"[('buildings', 0.5650002), ('building', 0.544754), ('construction', 0.51614654), ('demolition', 0.44711566), ('constructionwhen', 0.44543576), ('buildingwhen', 0.44268522), ('condos', 0.36983842), ('constructed', 0.354561), ('storey', 0.34034646), ('projects', 0.3231038)]"
12,11,33,11_expressway_highway_bonaventure_boulevard,"[('expressway', 0.59739673), ('highway', 0.42735827), ('bonaventure', 0.42696047), ('boulevard', 0.4147336), ('traffic', 0.37477946), ('downtown', 0.3616095), ('road', 0.35334152), ('infrastructure', 0.33009326), ('interchange', 0.31760848), ('montreal', 0.3172596)]"
13,12,30,12_transportation_transport_lrt_transit,"[('transportation', 0.44445777), ('transport', 0.43065566), ('lrt', 0.4226349), ('transit', 0.40941274), ('expressway', 0.40656292), ('infrastructure', 0.4041028), ('bus', 0.4018913), ('rail', 0.3777703), ('traffic', 0.37082326), ('road', 0.35709897)]"
14,13,30,13_architecture_project_concept_issues,"[('architecture', 0.47067404), ('project', 0.39056897), ('concept', 0.35802153), ('issues', 0.34234264), ('presented', 0.32914132), ('imagery', 0.3280936), ('developed', 0.31622773), ('aspect', 0.30759543), ('yourbusiness', 0.29285562), ('docks', 0.28031963)]"
15,14,24,14_depotium_depotiums_lease_contractors,"[('depotium', 0.6025164), ('depotiums', 0.59121823), ('lease', 0.38795426), ('contractors', 0.30950207), ('commission', 0.26343644), ('society', 0.2512498), ('societys', 0.24360651), ('withholding', 0.2343665), ('ourbusiness', 0.22507632), ('employees', 0.21938932)]"
16,15,23,15_viaduct_highway_barrier_railway,"[('viaduct', 0.650467), ('highway', 0.37752092), ('barrier', 0.32451838), ('railway', 0.32098508), ('traverses', 0.30081168), ('landmark', 0.28795734), ('rail', 0.26830167), ('crosswalks', 0.26593125), ('building', 0.253222), ('foundations', 0.23255959)]"
17,16,21,16_shm_shms_objectives_developments,"[('shm', 0.4360026), ('shms', 0.42626753), ('objectives', 0.37512267), ('developments', 0.32817972), ('misguided', 0.3099299), ('mandate', 0.30849358), ('findings', 0.3052782), ('conclusionas', 0.30354962), ('proposal', 0.2975896), ('proposed', 0.29377574)]"
